Date,City,BHK_Apartment,Building_Name,Prop_ID,Bedroom_Num,Bathroom_Num,Ownership_Type,Property_Type,Facing,Furnished,Property_Age,Area_SQFT,Price_per_SQFT,Sum of Price_SQFT,Sum of Total_Price
2019-07-10 00:00:00,Mumbai,5 BHK Flat,K Raheja Palm Spring,G62180342,5,3,Leasehold,Studio Apartment,North,Semifurnished,0-1 Year Old Property,100,,500,50000
2019-02-22 00:00:00,Mumbai,5 BHK Flat,Krishna Apartment,Q68916824,5,4,Leasehold,Residential Apartment,West,Furnished,0-1 Year Old Property,100,,500,50000
2018-03-15 00:00:00,Kolkata,3 BHK Flat,GreenTech City Vedic Wellness Villas,I64828776,3,5,Freehold,Residential Land,South-East,Unfurnished,Under Construction,100,,500,50000
2019-04-11 00:00:00,Mumbai,4 BHK Flat,N P Vatsala,E70229356,4,5,Leasehold,Studio Apartment,North,Unfurnished,0-1 Year Old Property,100,,500,50000
2017-02-06 00:00:00,Kolkata,4 BHK Flat,New Life,I70049472,4,5,Leasehold,Residential Land,North,Furnished,5-10 Year Old Property,100,,500,50000
2019-01-03 00:00:00,Mumbai,5 BHK Flat,New Life,V70733886,5,5,Leasehold,Independent House/Villa,North,Unfurnished,0-1 Year Old Property,100,,500,50000
2019-03-19 00:00:00,Mumbai,1 BHK Flat,On Request,Y64363522,1,1,Leasehold,Residential Apartment,East,Semifurnished,0-1 Year Old Property,110,,500,55000
2021-12-05 00:00:00,Hyderabad,1 BHK Flat,Shree Sai Ganesh Colony,D65415784,1,1,Freehold,Independent House/Villa,East,Unfurnished,0-1 Year Old Property,110,,500,55000
2019-01-22 00:00:00,Mumbai,3 BHK Flat,UCT Unique Exotica,Y68475594,3,5,Freehold,Residential Apartment,North,Furnished,0-1 Year Old Property,110,,500,55000
2019-06-20 00:00:00,Mumbai,1 BHK Flat,charkop sector 8,V70010424,1,1,Leasehold,Residential Apartment,West,Furnished,0-1 Year Old Property,120,,500,60000
2019-08-07 00:00:00,Mumbai,1 BHK Flat,Doshi Darsshan Heritage,V61702998,1,1,Leasehold,Residential Apartment,North-East,Furnished,0-1 Year Old Property,120,,500,60000
2017-09-12 00:00:00,Kolkata,1 BHK Flat,Karunamoyee Housing Society,D71403526,1,1,Leasehold,Residential Land,South,Furnished,10+ Year Old Property,120,,500,60000
2018-02-22 00:00:00,Kolkata,2 BHK Flat,New Life,W64123888,2,1,Leasehold,Residential Land,South,Furnished,0-1 Year Old Property,120,,500,60000
2018-07-24 00:00:00,Kolkata,2 BHK Flat,New Life,T70911740,2,1,Leasehold,Residential Land,East,Unfurnished,10+ Year Old Property,120,,500,60000
2019-07-31 00:00:00,Mumbai,2 BHK Flat,Shanti Madhuban,R70265708,2,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,120,,500,60000
2018-01-12 00:00:00,Kolkata,3 BHK Flat,New Life,L68631050,3,2,Leasehold,Residential Land,North,Furnished,1-5 Year Old Property,120,,500,60000
2019-09-10 00:00:00,Hyderabad,3 BHK Flat,A1 Suite,B70696614,3,4,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,120,,500,60000
2018-08-14 00:00:00,Kolkata,4 BHK Flat,New Life,T70592678,4,4,Leasehold,Residential Land,East,Semifurnished,5-10 Year Old Property,120,,500,60000
2017-02-10 00:00:00,Kolkata,3 BHK Flat,New Life,D69938436,3,5,Leasehold,Residential Land,East,Semifurnished,10+ Year Old Property,120,,500,60000
2017-08-27 00:00:00,Kolkata,5 BHK Flat,New Life,L53674724,5,5,Leasehold,Residential Land,North,Furnished,5-10 Year Old Property,120,,500,60000
2019-04-20 00:00:00,Mumbai,5 BHK Flat,New Life,Z49127899,5,5,Leasehold,Independent House/Villa,North,Furnished,0-1 Year Old Property,120,,500,60000
2021-06-26 00:00:00,Hyderabad,1 BHK Flat,A1 Suite,P70856098,1,1,Freehold,Farm House,East,Unfurnished,Under Construction,121,,500,60500
2019-02-07 00:00:00,Secunderabad,4 BHK Flat,A1 Suite,S70850296,4,2,Freehold,Residential Land,North-East,Furnished,0-1 Year Old Property,121,,500,60500
2019-06-03 00:00:00,Hyderabad,4 BHK Flat,A1 Suite,M70174480,4,5,Freehold,Residential Land,North-East,Furnished,0-1 Year Old Property,122,,500,61000
2021-02-17 00:00:00,Hyderabad,1 BHK Flat,Venkatappa Nivas,F70975980,1,1,Leasehold,Serviced Apartments,South,Furnished,0-1 Year Old Property,125,,500,62500
2019-08-24 00:00:00,Mumbai,3 BHK Flat,Wadhwa Crown Residences,L65506586,3,4,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,125,,500,62500
2018-08-21 00:00:00,Kolkata,1 BHK Flat,New Life,N56973058,1,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,130,,500,65000
2018-02-26 00:00:00,Kolkata,2 BHK Flat,Sangam Buildung,M36858891,2,1,Leasehold,Residential Land,South-East,Furnished,10+ Year Old Property,130,,500,65000
2017-09-14 00:00:00,Kolkata,3 BHK Flat,New Life,G69756374,3,4,Leasehold,Residential Land,South,Semifurnished,10+ Year Old Property,130,,500,65000
2018-08-10 00:00:00,Kolkata,3 BHK Flat,details given above,O68950142,3,5,Leasehold,Residential Land,North,Semifurnished,1-5 Year Old Property,130,,500,65000
2019-04-06 00:00:00,Mumbai,4 BHK Flat,Sea Princess Apartment,E67438748,4,5,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,130,,500,65000
2017-09-01 00:00:00,Kolkata,1 BHK Flat,New Life,Y70252746,1,1,Leasehold,Residential Land,South-East,Furnished,5-10 Year Old Property,132,,500,66000
2021-09-10 00:00:00,Hyderabad,1 BHK Flat,VJR Heights,O64324730,1,1,Leasehold,Studio Apartment,North,Furnished,0-1 Year Old Property,140,,500,70000
2018-07-16 00:00:00,Kolkata,4 BHK Flat,Desbandhu Nagar,W70285592,4,3,Leasehold,Residential Land,South-East,Semifurnished,1-5 Year Old Property,140,,500,70000
2018-05-10 00:00:00,Kolkata,3 BHK Flat,New Life,K66014838,3,4,Leasehold,Residential Land,South-East,Semifurnished,10+ Year Old Property,140,,500,70000
2018-07-27 00:00:00,Kolkata,5 BHK Flat,New Life,U71080080,5,4,Leasehold,Residential Land,East,Semifurnished,10+ Year Old Property,140,,500,70000
2019-08-01 00:00:00,Mumbai,1 BHK Flat,Vijay Laxmi Sai Elegance,B67182134,1,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,144,,500,72000
2018-05-10 00:00:00,Kolkata,5 BHK Flat,New Life,R70588062,5,3,Leasehold,Residential Land,North,Semifurnished,10+ Year Old Property,144,,500,72000
2018-03-28 00:00:00,Kolkata,5 BHK Flat,Sovabazar Hatibagan Shyambazar,U63654058,5,5,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,144,,500,72000
2019-07-20 00:00:00,Mumbai,1 BHK Flat,CBD Belapur,W70762678,1,1,Leasehold,Studio Apartment,North,Semifurnished,0-1 Year Old Property,150,,500,75000
2018-03-12 00:00:00,Kolkata,1 BHK Flat,New Life,U70906428,1,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,150,,500,75000
2019-06-12 00:00:00,Mumbai,1 BHK Flat,Shree Sai Sapphire,L67182026,1,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,150,,500,75000
2019-05-09 00:00:00,Hyderabad,2 BHK Flat,A1 Suite,B70221506,2,1,Freehold,Residential Land,North-East,Furnished,0-1 Year Old Property,150,,500,75000
2018-07-27 00:00:00,Kolkata,2 BHK Flat,action area 2d,X70063418,2,1,Leasehold,Residential Land,North,Semifurnished,0-1 Year Old Property,150,,500,75000
2019-01-24 00:00:00,Mumbai,2 BHK Flat,Chandralok Building,Q64575066,2,1,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,150,,500,75000
2019-07-19 00:00:00,Mumbai,2 BHK Flat,Churchill,A68219768,2,1,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,150,,500,75000
2017-05-16 00:00:00,Kolkata,2 BHK Flat,New Life,G70586050,2,1,Leasehold,Residential Land,North,Semifurnished,10+ Year Old Property,150,,500,75000
2018-07-10 00:00:00,Kolkata,2 BHK Flat,New Life,Z71359924,2,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,150,,500,75000
2018-08-14 00:00:00,Kolkata,2 BHK Flat,New Life,R71290030,2,1,Freehold,Residential Land,North,Furnished,0-1 Year Old Property,150,,500,75000
2019-04-19 00:00:00,Mumbai,2 BHK Flat,Saki Vihar Complex,W67181882,2,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,150,,500,75000
2019-01-24 00:00:00,Mumbai,3 BHK Flat,Gorai Disha CHS,A32128083,3,2,Leasehold,Independent/Builder Floor,North-East,Furnished,0-1 Year Old Property,150,,500,75000
2017-06-08 00:00:00,Kolkata,3 BHK Flat,On Request,L71093478,3,2,Freehold,Residential Land,North,Unfurnished,1-5 Year Old Property,150,,500,75000
2019-02-06 00:00:00,Mumbai,4 BHK Flat,Aibani AR Avenue,Z65127106,4,2,Leasehold,Residential Apartment,West,Furnished,0-1 Year Old Property,150,,500,75000
2019-08-09 00:00:00,Mumbai,4 BHK Flat,Aman Akansha Apartment,X66858390,4,2,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,150,,500,75000
2018-06-28 00:00:00,Kolkata,4 BHK Flat,Karunamoyee Housing Society,T70462206,4,2,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,150,,500,75000
2019-02-23 00:00:00,Mumbai,4 BHK Flat,Saki Vihar Complex,C67181922,4,2,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,150,,500,75000
2017-11-14 00:00:00,Kolkata,5 BHK Flat,New Life,U65763066,5,2,Leasehold,Residential Land,South,Furnished,10+ Year Old Property,150,,500,75000
2017-11-22 00:00:00,Kolkata,5 BHK Flat,New Life,O70642014,5,2,Leasehold,Residential Land,East,Furnished,1-5 Year Old Property,150,,500,75000
2017-09-20 00:00:00,Kolkata,3 BHK Flat,Kartick bose lane,A70942806,3,3,Leasehold,Residential Land,North,Unfurnished,0-1 Year Old Property,150,,500,75000
2019-02-21 00:00:00,Mumbai,3 BHK Flat,Shalakha,F41176125,3,3,Leasehold,Studio Apartment,East,Furnished,0-1 Year Old Property,150,,500,75000
2019-05-11 00:00:00,Mumbai,4 BHK Flat,Sea Breeze,U70910766,4,3,Leasehold,Residential Apartment,North,Semifurnished,0-1 Year Old Property,150,,500,75000
2019-03-27 00:00:00,Mumbai,5 BHK Flat,67/9 Navjyoti Co operative housing society ltd,K65571036,5,3,Leasehold,Independent/Builder Floor,North,Furnished,0-1 Year Old Property,150,,500,75000
2019-02-01 00:00:00,Mumbai,5 BHK Flat,Manraj Enclave,Y67430484,5,3,Leasehold,Residential Apartment,North-East,Furnished,0-1 Year Old Property,150,,500,75000
2019-07-09 00:00:00,Mumbai,3 BHK Flat,Balaji Darshan,Z68949394,3,4,Leasehold,Residential Apartment,East,Semifurnished,0-1 Year Old Property,150,,500,75000
2019-03-05 00:00:00,Hyderabad,3 BHK Flat,Dharani Hills,P70161556,3,4,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,150,,500,75000
2019-02-23 00:00:00,Mumbai,3 BHK Flat,New Life,H31628495,3,4,Leasehold,Independent House/Villa,North,Furnished,0-1 Year Old Property,150,,500,75000
2017-08-25 00:00:00,Kolkata,4 BHK Flat,New Life,U70482372,4,4,Leasehold,Residential Land,North,Semifurnished,1-5 Year Old Property,150,,500,75000
2018-02-21 00:00:00,Kolkata,4 BHK Flat,New Life,U68955456,4,4,Leasehold,Residential Land,North,Furnished,5-10 Year Old Property,150,,500,75000
2019-01-11 00:00:00,Mumbai,4 BHK Flat,Saki Vihar Complex,C67181956,4,4,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,150,,500,75000
2019-01-10 00:00:00,Mumbai,5 BHK Flat,Rane Nest,O69103494,5,4,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,150,,500,75000
2018-08-01 00:00:00,Kolkata,3 BHK Flat,Karunamoyee Housing Society,I70472872,3,5,Leasehold,Residential Land,North-East,Semifurnished,1-5 Year Old Property,150,,500,75000
2017-09-04 00:00:00,Kolkata,4 BHK Flat,gupta house,C70739248,4,5,Leasehold,Residential Land,South-East,Semifurnished,10+ Year Old Property,150,,500,75000
2019-01-18 00:00:00,Mumbai,5 BHK Flat,Dosti Greater Thane,J70826838,5,5,Freehold,Studio Apartment,North,Furnished,0-1 Year Old Property,150,,500,75000
2019-07-03 00:00:00,Mumbai,5 BHK Flat,Saki Vihar Complex,O67181790,5,5,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,150,,500,75000
2019-04-12 00:00:00,Mumbai,5 BHK Flat,Soham Residency,O45930241,5,5,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,150,,500,75000
2017-12-01 00:00:00,Kolkata,3 BHK Flat,New Life,C68269958,3,2,Leasehold,Residential Land,North,Semifurnished,10+ Year Old Property,154,,500,77000
2017-08-31 00:00:00,Kolkata,2 BHK Flat,New Life,N70935968,2,1,Leasehold,Residential Land,North,Semifurnished,10+ Year Old Property,160,,500,80000
2018-05-11 00:00:00,Kolkata,4 BHK Flat,New Life,P55538394,4,2,Leasehold,Residential Land,North,Semifurnished,10+ Year Old Property,160,,500,80000
2018-05-25 00:00:00,Kolkata,4 BHK Flat,New Life,X67799074,4,2,Leasehold,Residential Land,East,Furnished,5-10 Year Old Property,160,,500,80000
2018-05-11 00:00:00,Kolkata,4 BHK Flat,Sudhasree 2,B69886718,4,2,Leasehold,Residential Land,North-East,Furnished,10+ Year Old Property,160,,500,80000
2017-11-29 00:00:00,Kolkata,3 BHK Flat,biswanath apartment salkia kolkata wesy bengal,Q69539402,3,3,Leasehold,Residential Land,North-East,Unfurnished,10+ Year Old Property,160,,500,80000
2017-12-01 00:00:00,Kolkata,4 BHK Flat,New Life,W67799092,4,4,Leasehold,Residential Land,South-East,Furnished,5-10 Year Old Property,160,,500,80000
2018-03-02 00:00:00,Kolkata,3 BHK Flat,New Life,F70717556,3,5,Leasehold,Residential Land,North,Semifurnished,5-10 Year Old Property,160,,500,80000
2018-04-19 00:00:00,Kolkata,1 BHK Flat,New Life,P57948636,1,1,Leasehold,Residential Land,North,Semifurnished,1-5 Year Old Property,163,,500,81500
2019-02-15 00:00:00,Hyderabad,1 BHK Flat,A1 Suite,M70760322,1,1,Freehold,Independent House/Villa,East,Unfurnished,Under Construction,165,,500,82500
2021-09-17 00:00:00,Hyderabad,2 BHK Flat,A1 Suite,S70852132,2,1,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,167,,500,83500
2021-08-31 00:00:00,Hyderabad,5 BHK Flat,A1 Suite,M70852658,5,3,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,167,,500,83500
2022-12-05 00:00:00,Hyderabad,5 BHK Flat,HMDA OPEN PLOTS,N70466296,5,3,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,167,,500,83500
2019-04-18 00:00:00,Mumbai,1 BHK Flat,Mohit CHS,W61260842,1,1,Leasehold,Independent House/Villa,East,Furnished,0-1 Year Old Property,170,,500,85000
2019-05-07 00:00:00,Mumbai,3 BHK Flat,Shanti Buildings,F34805321,3,2,Leasehold,Residential Apartment,South-West,Furnished,0-1 Year Old Property,170,,500,85000
2017-06-05 00:00:00,Kolkata,2 BHK Flat,RBJ Orchid,C68918984,2,1,Freehold,Residential Land,North,Furnished,Under Construction,174,,500,87000
2017-08-10 00:00:00,Mumbai,3 BHK Flat,Asmi Complex,K68745952,3,2,Leasehold,Studio Apartment,North,Semifurnished,0-1 Year Old Property,180,,500,90000
2019-03-01 00:00:00,Mumbai,3 BHK Flat,Shreeji Apartment,W65269120,3,2,Leasehold,Serviced Apartments,North,Furnished,0-1 Year Old Property,180,,500,90000
2018-07-20 00:00:00,Kolkata,5 BHK Flat,New Life,N70680664,5,2,Leasehold,Residential Land,North,Furnished,5-10 Year Old Property,180,,500,90000
2019-08-10 00:00:00,Mumbai,3 BHK Flat,Shalakha,E40933601,3,3,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,180,,500,90000
2018-03-23 00:00:00,Kolkata,4 BHK Flat,New Life,F69742552,4,3,Leasehold,Residential Land,North,Semifurnished,1-5 Year Old Property,180,,500,90000
2018-05-18 00:00:00,Kolkata,5 BHK Flat,New Life,M70644222,5,3,Leasehold,Residential Land,North,Furnished,5-10 Year Old Property,180,,500,90000
2019-08-21 00:00:00,Mumbai,3 BHK Flat,Shree OmKar CHS,G70249984,3,4,Leasehold,Residential Apartment,East,Semifurnished,0-1 Year Old Property,180,,500,90000
2022-09-20 00:00:00,Hyderabad,5 BHK Flat,A1 Suite,B64258778,5,4,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,180,,500,90000
2017-06-02 00:00:00,Mumbai,5 BHK Flat,Parel,L70418394,5,4,Leasehold,Studio Apartment,West,Unfurnished,0-1 Year Old Property,180,,500,90000
2018-06-12 00:00:00,Kolkata,4 BHK Flat,New Life,Y71196014,4,5,Leasehold,Residential Land,North,Furnished,1-5 Year Old Property,180,,500,90000
2019-11-25 00:00:00,Hyderabad,3 BHK Flat,A1 Suite,B70856550,3,2,Freehold,Residential Land,West,Furnished,0-1 Year Old Property,183,,500,91500
2019-02-16 00:00:00,Mumbai,2 BHK Flat,Starwing I Stay Tower K,L70709430,2,1,Freehold,Studio Apartment,North,Furnished,0-1 Year Old Property,185,,500,92500
2019-08-10 00:00:00,Mumbai,2 BHK Flat,New Life,Y67302376,2,1,Freehold,Residential Land,North,Furnished,0-1 Year Old Property,194,,500,97000
2018-08-19 00:00:00,Mumbai,5 BHK Flat,Shiv Bhaveshwar Caasa,Z70493262,5,3,Freehold,Studio Apartment,North,Furnished,0-1 Year Old Property,194,,500,97000
2018-08-08 00:00:00,Kolkata,1 BHK Flat,Orchestra Co-Operative Housing Society,P71159806,1,1,Leasehold,Residential Land,South,Furnished,10+ Year Old Property,195,,500,97500
2018-06-13 00:00:00,Mumbai,4 BHK Flat,Mohan Nano Estates,T70846192,4,3,Freehold,Studio Apartment,North,Furnished,0-1 Year Old Property,197,,500,98500
2019-07-27 00:00:00,Mumbai,2 BHK Flat,Sunset Gardens by Marathon,I69330258,2,1,Freehold,Studio Apartment,North,Furnished,0-1 Year Old Property,198,,500,99000
2019-05-03 00:00:00,Mumbai,1 BHK Flat,Artist Village CBD Belapur,I57944602,1,1,Leasehold,Residential Apartment,North,Semifurnished,0-1 Year Old Property,200,,500,100000
2021-01-28 00:00:00,Gurgaon,1 BHK Flat,DLF City Plots,V71254456,1,1,Freehold,Independent/Builder Floor,East,Semifurnished,1-5 Year Old Property,200,86500,86500,17300000
2021-08-20 00:00:00,Gurgaon,1 BHK Flat,DLF City Plots,P71582802,1,1,Freehold,Independent/Builder Floor,East,Semifurnished,5-10 Year Old Property,200,80000,80000,16000000
2017-11-16 00:00:00,Kolkata,1 BHK Flat,Mohan Garden,N30218117,1,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,200,,500,100000
2017-05-29 00:00:00,Kolkata,1 BHK Flat,New Life,F70122534,1,1,Leasehold,Residential Land,South-East,Furnished,5-10 Year Old Property,200,,500,100000
2017-12-01 00:00:00,Mumbai,1 BHK Flat,On Request,P69868296,1,1,Leasehold,Residential Apartment,North,Unfurnished,0-1 Year Old Property,200,,500,100000
2019-04-16 00:00:00,Mumbai,1 BHK Flat,Request,L69953748,1,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,200,,500,100000
2021-03-02 00:00:00,Hyderabad,1 BHK Flat,SMR I T Woods,V70779330,1,1,Freehold,Independent House/Villa,East,Unfurnished,0-1 Year Old Property,200,,500,100000
2018-03-23 00:00:00,Kolkata,1 BHK Flat,Sudhasree 2,C69885978,1,1,Leasehold,Residential Land,North-West,Furnished,10+ Year Old Property,200,,500,100000
2019-04-12 00:00:00,Mumbai,1 BHK Flat,Tirupati Apartment,I69504458,1,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,200,,500,100000
2019-03-29 00:00:00,Mumbai,2 BHK Flat,"12/99,Unnat Nagar",L61807338,2,1,Leasehold,Independent House/Villa,East,Furnished,0-1 Year Old Property,200,,500,100000
2019-08-13 00:00:00,Mumbai,2 BHK Flat,Bhaveshwar Ophelia,E70058658,2,1,Leasehold,Residential Apartment,North,Semifurnished,0-1 Year Old Property,200,,500,100000
2019-08-07 00:00:00,Mumbai,2 BHK Flat,good luck,A70868586,2,1,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,200,,500,100000
2019-03-26 00:00:00,Mumbai,2 BHK Flat,Lotus Balaji Tower,Y70399568,2,1,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,200,,500,100000
2017-09-14 00:00:00,Kolkata,2 BHK Flat,New Life,A69217050,2,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,200,,500,100000
2018-01-11 00:00:00,Kolkata,2 BHK Flat,New Life,A70542368,2,1,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,200,,500,100000
2019-08-02 00:00:00,Mumbai,2 BHK Flat,New Life,D70147616,2,1,Leasehold,Independent House/Villa,South-East,Semifurnished,0-1 Year Old Property,200,,500,100000
2018-02-13 00:00:00,Kolkata,2 BHK Flat,Regent Estate,O70579680,2,1,Leasehold,Residential Land,South-East,Semifurnished,1-5 Year Old Property,200,,500,100000
2018-06-29 00:00:00,Kolkata,2 BHK Flat,Vedic Aqua Golf Villa,P64070564,2,1,Freehold,Residential Land,South-East,Unfurnished,Under Construction,200,,500,100000
2019-05-24 00:00:00,Mumbai,2 BHK Flat,Venus Jupiter Housing Complex,L68382666,2,1,Leasehold,Residential Apartment,East,Furnished,0-1 Year Old Property,200,,500,100000
2019-06-20 00:00:00,Mumbai,3 BHK Flat,Gurukrupa society Room no 08,N67625984,3,2,Leasehold,Independent House/Villa,North,Furnished,0-1 Year Old Property,200,,500,100000
2019-08-08 00:00:00,Mumbai,3 BHK Flat,Request,G69398080,3,2,Leasehold,Residential Apartment,East,Semifurnished,0-1 Year Old Property,200,,500,100000
2019-03-06 00:00:00,Mumbai,4 BHK Flat,Devi Kanyakumari CHS,T70708634,4,2,Leasehold,Studio Apartment,North,Semifurnished,0-1 Year Old Property,200,,500,100000
2021-09-21 00:00:00,Gurgaon,4 BHK Flat,DLF City Plots,S71053438,4,2,Freehold,Independent House/Villa,East,Semifurnished,10+ Year Old Property,200,311926,311926,62385200
2017-12-14 00:00:00,Kolkata,4 BHK Flat,New Life,N71297392,4,2,Leasehold,Residential Land,North,Furnished,1-5 Year Old Property,200,,500,100000
2019-02-05 00:00:00,Mumbai,4 BHK Flat,sai dham residency,S70403214,4,2,Leasehold,Residential Apartment,North,Semifurnished,0-1 Year Old Property,200,,500,100000
2019-07-27 00:00:00,Mumbai,5 BHK Flat,Aapli Ekta Society,N63961140,5,2,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,200,,500,100000
2017-03-10 00:00:00,Kolkata,5 BHK Flat,Hidco Land,S71095684,5,2,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,200,,500,100000
2018-06-13 00:00:00,Kolkata,3 BHK Flat,New Life,X45811147,3,3,Leasehold,Residential Land,North,Furnished,0-1 Year Old Property,200,,500,100000
2021-02-07 00:00:00,Hyderabad,4 BHK Flat,kothur nandigama,L70330568,4,3,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,200,,500,100000
2019-01-05 00:00:00,Mumbai,4 BHK Flat,Onyx Building,T64109346,4,3,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,200,,500,100000
2019-03-19 00:00:00,Mumbai,4 BHK Flat,Sheth Vasant Nagri,P69213232,4,3,Leasehold,Residential Apartment,South-East,Semifurnished,0-1 Year Old Property,200,,500,100000
2018-01-31 00:00:00,Kolkata,5 BHK Flat,mandeville apartments,R67870672,5,3,Leasehold,Residential Land,North,Furnished,10+ Year Old Property,200,,500,100000
2019-05-10 00:00:00,Mumbai,3 BHK Flat,Churchgate Mansion,V65143074,3,4,Leasehold,Residential Apartment,North,Furnished,0-1 Year Old Property,200,,500,100000
2021-08-25 00:00:00,Gurgaon,3 BHK Flat,DLF City Plots,K71053486,3,4,Freehold,Residential Land,East,Furnished,0-1 Year Old Property,200,311926,311926,62385200
2018-06-27 00:00:00,Kolkata,3 BHK Flat,Matri Mandir Apartments,I42865837,3,4,Leasehold,Residential Land,North,Unfurnished,1-5 Year Old Property,200,,500,100000
2019-06-21 00:00:00,Mumbai,4 BHK Flat,Fort mansion,W67010456,4,4,Leasehold,Residential Apartment,South,Furnished,0-1 Year Old Property,200,,500,100000
2018-07-18 00:00:00,Kolkata,4 BHK Flat,New Life,G62334778,4,4,Leasehold,Residential Land,South,Semifurnished,10+ Year Old Property,200,,500,100000
